ID,GPR50,MYH1,MT2A,E2F8,MYH4,MTNR1B,GLP2R,GNAO1,EGF,BUB1B,MMP3,PLK1,MMP1,MT1E,MT1F,FOXM1,E2F1,MYH7,CCL20,MMP9,CDC20,GLP1R,ADRA1D,MT1G,ADRA1A,IGF1,MT1X,CDK1,MYH8,GNG4,MYH13
GSM4284605,0,0,890,137,0,1,1,1,0,80,0,52,6,5,1,150,1118,0,17,14,149,1,1,16,181,499,636,234,0,157,0
GSM4284606,0,0,9332,2,0,1,6,779,1,4,1,56,0,3145,999,90,8,7,9,20,7,2,0,4589,1500,641,3895,3,0,0,1
GSM4284607,0,1,451,123,2,2,22,496,526,482,1,575,209,31,16,2857,1141,0,740,190,1019,2,5,38,77,408,77,1505,1,4,1
GSM4284608,0,2,18706,14,3,8,44,744,226,102,1,106,32,4822,1966,385,126,1,1081,14,140,7,3,9690,1913,1260,2507,186,2,2,0
GSM4284609,1,1,2558,18,1,1,5,165,1,22,1,38,9,541,36,139,76,2,155,184,54,1,0,196,786,2267,774,79,0,6,1
GSM4284610,0,1,26614,6,202,1,26,447,1,8,1,27,0,8838,1078,90,21,1,118,57,16,3,0,5352,1242,3640,7200,32,1,4,1
GSM4284611,0,6,1920,127,5,1,7,1211,8,508,1,526,60,687,181,653,325,1,70,113,1079,371,61,44,1,424,80,1408,3,2201,44
GSM4284612,0,1,27215,4,1,1,32,680,1,15,1,11,33,8854,1769,84,19,5,89,106,10,2,0,5774,1246,2399,5786,67,1,2,1
GSM4284613,0,1,999,40,0,1,2,6,0,30,0,32,1,233,15,178,355,0,70,39,48,2,1,80,456,2360,289,208,1,856,1
GSM4284614,0,2,13211,6,8,1,8,574,1,11,1,46,0,3056,247,83,26,1,42,4,24,0,0,909,875,414,1115,7,2,3,3
GSM4284615,0,0,893,20,2,1,1,152,0,22,0,40,0,3,80,80,34,0,68,10,27,1,1,263,418,713,165,67,0,1,1
GSM4284616,0,1,7028,1,91,1,18,148,1,9,2,25,0,1079,161,64,22,7,7,48,6,3,3,231,639,571,1364,17,0,18,1
GSM4284617,1,0,31958,43,1,1,3,222,113,136,2,73,34,20118,12799,268,439,1,188,106,286,1,8,39479,45,1748,16228,986,1,1,1
GSM4284618,0,1,31255,1,1,1,48,1093,1,2,2,22,1,13965,2366,67,13,1,12,16,11,5,6,13028,1689,2692,5353,18,0,6,0
GSM4284619,0,0,4450,7,0,1,11,104,0,10,1,28,11,974,130,28,22,0,113,44,8,1,1,443,19,115,359,20,0,1,5
GSM4284620,1,0,18355,7,1,1,3,157,0,10,2,44,12,4803,159,78,27,2,510,18,10,3,1,561,619,300,2267,10,0,1,1
GSM4284621,0,1,990,190,63,1835,1,59,9,207,0,132,0,230,129,742,1350,0,2235,19,450,3,3,12,1103,624,254,804,1,16,1
GSM4284622,0,12,26074,4,3582,3,11,403,0,11,1,23,1,9984,2239,77,29,5,750,25,26,2,3,12304,1092,1419,3599,29,1,3,5
GSM4284623,0,4,3630,107,2,1,1,1141,2,152,34,337,26,1544,129,1376,786,0,490,32,601,1,7,704,258,158,654,387,1,1,1
GSM4284624,1,1,31146,10,4,1,25,469,1,14,1,14,0,11424,3974,90,41,3,304,87,25,1,0,25392,1279,2596,8670,31,2,4,2
GSM4284625,0,58,670,105,1480,578,2,204,2,320,1,124,94,227,38,213,798,0,893,66,412,1,0,93,1413,1117,41,504,35,52,3
GSM4284626,4,1,13876,20,1,3,9,463,0,38,1,55,0,4486,1036,149,120,3,105,26,50,4,0,5000,928,478,2179,76,1,9,0
GSM4284627,0,59,695,252,63,1,0,6,13,735,125,902,36,111,22,1189,800,3,2099,124,1422,16,1,70,20,177,55,1012,26,6,1
GSM4284628,0,1,8598,1,2,1,5,121,0,3,3,15,0,2359,467,37,29,1,39,3,9,0,0,2413,843,476,635,11,0,1,1
GSM4284629,0,0,612,149,0,1920,1,208,1,440,0,273,12,207,20,2609,697,0,533,56,928,2,0,32,116,49,59,624,1,220,0
GSM4284630,1,0,39999,6,8,1,139,628,1,13,0,26,0,9712,3194,92,58,4,1537,24,17,0,14,16569,942,435,3992,43,1,11,1
GSM4284631,0,1,3613,14,1,1,21,113,4,44,1,41,20,980,138,130,73,4,153,856,36,2,9,681,313,638,519,109,1,21,1
GSM4284632,0,1,11302,1,0,1,135,522,0,2,1,8,0,6138,907,97,14,2,5,14,6,0,3,6264,678,1156,3627,7,0,4,1
GSM4284633,0,0,7924,123,1,1,1,19,0,164,1,192,6,3727,541,679,116,0,33,39,619,1,1,6353,2066,773,1707,472,0,6,1
GSM4284634,0,1,14042,16,55,2,27,404,1,17,1,25,1,4807,1065,104,65,4,246,48,13,1,3,5109,1003,1218,1877,32,1,11,1
GSM4284635,0,1,3815,20,1,1,8,171,1,19,0,19,29,825,14,93,97,0,75,8,72,1,3,249,1094,1019,645,65,1,42,1
GSM4284636,0,3,20791,5,18,1,42,1033,0,8,2,31,0,6657,967,97,28,3,114,41,19,3,0,4376,1167,2374,4319,20,2,1,2
GSM4284637,0,49,910,13,23112,1,2,19,1,18,0,45,0,110,22,69,74,1,116,79,28,1,4,8,14,354,36,99,3,111,28
GSM4284638,0,0,21673,2,87,1,5,182,1,8,0,21,1,5786,356,36,29,4,50,25,11,1,0,899,897,762,2772,6,1,9,1
GSM4284639,1,2,19071,9,1,0,25,128,1,17,1,32,1,3336,327,68,36,0,25,401,14,0,6,2438,104,908,2343,72,1,2,2
GSM4284640,5,2,6968,7,72,1,8,217,0,13,0,63,0,754,179,31,37,1,7,14,8,0,1,402,531,1048,905,1,1,1,0
GSM4284641,0,1,982,61,1,1,3,86,9,110,3,109,114,36,52,212,251,0,220,169,293,1,0,24,69,332,44,212,1,3,1
GSM4284642,0,0,49042,3,1,1,22,433,1,3,1,16,1,17102,2383,51,11,0,447,41,14,0,1,9895,1004,3888,15127,19,1,1,1
GSM4284643,0,31,3124,8,807,1,0,11,3,8,1,11,9,2112,209,34,31,0,30,23,36,1,1,260,90,678,572,37,11,149,1
GSM4284644,0,0,22957,2,0,1,10,714,1,2,1,14,0,9774,3266,52,26,0,11,7,10,1,0,11663,2122,1557,6496,5,1,1,1
GSM4284645,0,1,4808,4,1,1,44,558,0,3,1,31,0,2044,326,87,14,2,19,56,2,1,4,2767,1401,527,690,8,1,3,1
GSM4284646,3,0,10524,242,1,1,0,55,1,47,11,77,17,3216,86,295,155,0,1,96,118,2,1,2371,698,885,3652,79,0,430,1
GSM4284647,1,5,10259,5,224,1,5,80,5,17,1,22,30,1895,163,61,24,0,56,51,24,1,13,999,8,4641,927,103,2,9,9
GSM4284648,0,0,865,1,0,0,0,81,0,2,0,13,0,143,39,7,0,1,4,7,1,0,0,163,215,64,141,0,0,0,0
GSM4284649,1,0,1634,540,1,1,78,73,1,735,327,759,1331,176,39,1288,1009,2,274,1193,3519,1,9,103,43,100,89,2051,1,5,1
GSM4284650,0,1,12358,10,29,1,61,380,1,10,0,31,8,2982,1072,65,90,1,103,38,18,1,1,5065,1094,1065,1848,38,0,1,1
GSM4284651,0,1,32300,39,1,1,5,208,25,55,54,76,34,11687,8590,184,121,0,3075,416,189,2,11,34404,27,502,6218,169,1,1,1
GSM4284652,0,2,9947,6,1,1,41,135,2,16,1,17,8,3024,372,64,21,1,167,79,17,1,4,2264,679,823,924,27,1,3,1
GSM4284653,0,0,382,14,1,0,0,7,1,53,0,45,1,78,8,81,115,0,25,6,50,1,0,9,331,548,51,37,1,0,1
GSM4284654,0,0,2612,7,0,1,2,254,1,12,0,16,0,441,78,33,43,2,10,11,27,1,0,301,157,156,223,9,0,1,2
GSM4284655,0,0,3123,16,1,1,6,299,0,19,1,40,0,1034,76,102,45,3,78,68,23,2,5,140,284,1014,477,77,0,1,1
GSM4284656,1,1,21076,7,9,1,14,226,0,10,0,50,0,7846,1284,128,81,9,122,59,14,15,0,5377,1360,1335,3780,18,0,1,1
GSM4284657,0,1,24694,2,1,1,10,169,1,6,1,5,6,5487,667,23,18,0,360,156,2,1,2,4507,887,609,4425,14,1,3,1
GSM4284658,0,7,1013,21,2234,1,3,42,0,15,4,58,0,135,19,210,126,0,64,60,75,4,0,22,20,657,107,49,1,3,3
GSM4284659,0,1,13045,31,1,1,2,37,1,61,1,62,405,3105,718,97,50,0,87,25662,74,1,0,2330,1,49,1685,86,1,5,2
GSM4284660,4,0,32092,0,1,1,23,196,0,2,1,2,12,9931,4414,31,5,4,74,16,1,0,1,23116,1421,3825,6543,6,1,1,1
GSM4284661,5,1,13562,11,2,1,44,47,1,21,1,44,63,2877,145,57,32,0,44,1677,19,0,14,1125,2,1662,1397,67,1,6,3
GSM4284662,0,1,18475,6,8,1,32,896,0,13,0,48,0,3665,1209,75,16,1,34,26,17,1,1,6679,1327,501,4251,18,1,0,1
GSM4284663,0,0,28845,38,1,1,1,495,16,52,4,64,9,8864,918,167,115,1,28,82,82,1,3,2757,886,284,3591,136,0,7,0
GSM4284664,0,0,47076,6,2,1,24,392,1,8,1,11,1,14377,3894,48,18,4,39,25,16,1,1,18636,1514,1751,9282,37,1,1,0
GSM4284665,1,0,582,96,1,1,2,12,1,287,2,402,82,67,68,860,586,2,2403,498,732,2,0,20,2,442,39,704,0,5,1
GSM4284666,0,1,41002,1,3,1,43,773,0,3,0,24,1,11014,4665,64,11,1,25,23,8,6,3,30264,1759,1277,8809,17,1,2,0
GSM4284667,0,138,2309,98,174,1,1,626,0,57,3,94,0,671,22,213,515,0,138,52,239,2,5,138,2390,941,478,48,61,1,1
GSM4284668,1,1,20840,7,1,4,77,296,1,7,1,20,1,7024,1013,164,27,10,137,45,12,1,9,4591,1021,209,3139,25,0,1,1
GSM4284669,1,1,145,124,1,1,1,68,1,210,0,283,6,33,11,580,699,1,52,7,503,1,20,4,271,855,4,470,1,2162,1
GSM4284670,0,0,9644,29,60,1,5,346,1,14,0,46,0,1968,579,108,171,0,31,14,52,1,0,1974,1023,1463,2744,39,1,1,1
GSM4284671,1,0,4642,43,0,1,2,3,1,44,2,41,37,840,12,210,231,1,11,16,165,1,0,520,164,70,549,250,0,3,1
GSM4284672,1,0,5249,4,22,1,4,220,2,4,0,15,0,1430,230,32,19,0,39,42,5,0,0,866,272,345,579,10,0,0,0
GSM4284673,0,0,334,5,0,1,45,481,0,5,0,10,0,23,0,68,59,0,173,24,17,1,0,1,51,93,83,16,0,3,0
GSM4284674,0,0,19564,1,0,1,6,285,0,3,1,38,1,4361,1080,25,8,2,1,13,2,0,0,2411,1261,1078,3848,4,0,1,0
GSM4284675,0,1,1104,126,0,1,1,40,1,156,1,194,15,3,61,559,404,1,5037,88,504,1,2,83,46,1374,81,270,0,7160,1
GSM4284676,0,0,21477,9,1,1,11,507,1,11,1,50,1,7641,1375,99,37,2,34,10,22,1,1,7438,1832,3197,4859,24,0,1,0
GSM4284677,0,1,9912,139,0,1,0,4,1,150,0,151,12,7273,85,257,400,0,384,38,285,0,0,999,130,400,871,830,0,4,0
GSM4284678,1,2,23598,14,222,2,13,242,1,18,2,69,0,7719,1641,115,75,1,207,77,24,2,0,5825,1342,1231,3421,25,1,13,1
GSM4284679,2,7,661,16,4706,1,6,63,1,49,0,84,0,120,53,75,87,0,253,90,60,3,1,99,43,148,69,17,1,1,7
GSM4284680,1,0,4350,1,0,0,7,257,0,4,0,17,0,1715,332,13,16,1,0,3,5,0,0,1515,363,66,441,4,0,1,1
GSM4284681,0,0,172,9,0,1,0,1,1,14,2,15,0,30,9,139,64,0,36,18,6,1,89,50,3,277,21,7,0,338,0
GSM4284682,5,4,282,4,6,1,7,39,2,2,2,5,0,50,28,4,6,14,4,3,4,10,4,42,51,190,22,0,9,5,4
GSM4284683,0,0,580,6,0,0,0,23,0,12,0,11,0,108,6,50,34,0,60,6,15,1,0,39,2,44,25,6,0,0,0
GSM4284684,0,1,9531,2,2,0,15,201,0,19,1,36,0,2038,85,53,15,2,26,125,6,3,6,489,576,104,1212,18,1,3,1
GSM4284685,0,0,2706,23,0,1,1,15,1,61,1,66,0,227,34,78,65,0,195,48,72,0,0,506,19,5,306,14,0,1,0
GSM4284686,0,0,3536,4,3,1,4,239,0,11,0,33,0,588,151,18,10,0,0,7,3,0,1,917,344,73,353,3,0,1,2
GSM4284687,0,0,369,79,0,1,1,18,124,151,0,124,6,18,30,407,244,1,321,33,407,0,4,8,168,14,8,195,0,974,1
GSM4284688,1,0,6499,19,3,1,28,614,27,25,1,45,5,1509,638,169,52,3,42,12,58,1,1,2248,1660,701,1233,32,1,97,0
GSM4284689,0,38,772,115,78,1,82,457,21,125,5,282,94,64,67,520,303,15,840,76,419,693,40,62,21,1163,67,244,13,12,4
GSM4284690,0,0,14474,4,1,1,3,719,1,5,1,27,1,3429,860,61,36,2,48,11,27,3,3,5302,991,2897,1891,24,1,1,0
GSM4284691,0,0,3853,16,0,1,1,12,0,37,136,48,72,680,11,134,46,0,3793,100,137,62,374,81,36,67,498,128,1,3,1
GSM4284692,0,0,22721,3,1,1,35,770,1,6,2,21,0,5813,1951,66,30,3,31,19,12,4,0,13932,1682,2528,4602,18,1,0,1
GSM4284693,0,17,3490,72,197,1,2,45,1,143,1,177,97,944,151,525,202,0,2183,124,225,890,0,1144,149,1655,484,513,8,8,1
GSM4284694,0,1,26917,2,1,1,14,1084,1,4,1,35,1,5994,2258,69,38,1,35,22,6,2,4,9404,1348,1708,5342,23,1,3,2
GSM4284695,1,0,485,344,0,1,0,19,1,236,0,324,23,95,1,829,1286,1,22,7,826,1,0,0,149,66,57,1160,0,195,0
GSM4284696,0,2,4505,11,1,1,45,1252,0,22,1,74,0,1119,132,117,43,4,19,27,23,7,0,415,1329,1752,476,17,0,4,1
GSM4284697,0,1,7998,10,1,1,0,282,1,16,0,31,0,6205,1623,88,54,0,31,7,116,1,0,8878,263,220,1407,78,1,0,0
GSM4284698,4,0,13124,4,7,1,13,446,0,13,1,30,0,2681,1515,112,47,3,21,45,11,1,1,7037,1387,2005,2154,19,1,1,1
GSM4284699,1,1,1251,143,1,1,3,13,579,653,10,441,36,288,45,578,458,2,1025,93,1429,1,65,131,34,253,107,695,0,309,1
GSM4284700,0,0,6863,4,0,0,6,184,0,9,1,45,0,1310,144,38,24,4,25,52,9,2,0,303,579,498,409,13,0,3,0
GSM4284701,1,1,9044,56,2,1,2,37,2,135,0,155,631,1462,265,250,203,0,121,25055,260,1,15,1458,215,583,595,394,1,24,5
GSM4284702,1,1,36091,14,24,1,27,365,0,12,1,20,1,6613,1980,89,45,2,535,50,12,1,0,8190,1224,894,4064,10,1,7,1
GSM4284703,0,1,6240,43,0,1,0,217,1,37,0,34,1,1879,47,110,112,0,0,125,59,1,1,698,241,3910,3004,117,1,1,1
GSM4284704,0,0,42875,10,0,0,11,218,0,20,1,24,0,10691,2006,61,31,2,46,45,24,3,0,13127,604,3170,7126,50,0,2,0
GSM4284705,0,0,7145,2,0,1,10,393,0,6,0,14,0,1427,288,47,9,1,10,6,3,0,1,2196,1047,1391,1144,8,0,1,1
GSM4284706,0,0,11827,1,0,1,20,746,1,2,0,31,0,2381,1095,44,12,5,9,3,4,0,3,5658,1593,2726,2220,1,0,2,1
GSM4284707,0,0,64,111,1,1,0,9,0,128,1,292,1,5,1,452,344,0,374,56,270,1,3,0,19,14,1,138,0,5,1
GSM4284708,0,0,7133,1,0,1,1,150,0,3,0,3,0,1454,329,4,3,1,4,7,4,0,0,990,292,709,968,3,1,0,0
GSM4284709,0,1,3328,1,0,0,8,3,1,0,1,7,5,2276,1039,10,6,0,94,83,2,1,24,2377,1,31,1685,6,0,1,1
GSM4284710,0,3,11491,12,188,1,21,306,0,19,1,38,0,3674,704,94,59,1,303,38,31,2,3,2188,803,1005,1444,31,1,3,4
GSM4284711,0,0,32,38,0,0,1,3,0,111,0,89,0,2,4,149,413,0,5,3,41,0,0,9,8,25,3,11,0,0,1
GSM4284712,0,0,3377,0,1,0,6,12,0,0,0,1,4,995,206,2,0,0,0,1,0,0,0,1969,7,57,484,0,0,0,0
GSM4284713,0,0,1163,22,0,1,1,88,1,24,0,53,0,92,5,169,179,0,105,9,48,0,3,11,1020,571,1129,66,0,1,0
GSM4284714,0,2,17069,12,1,1,17,454,2,35,1,56,1,3573,730,104,54,1,283,144,73,3,1,5378,721,533,1844,78,2,8,1
GSM4284715,0,0,8908,25,1,1,1,46,0,27,1,22,45,5200,1353,76,263,0,188,48,52,1,2,10320,1474,682,3807,147,0,2,0
GSM4284716,0,0,8150,3,1,1,19,439,0,6,1,35,0,1845,1013,85,38,3,17,41,7,2,8,4463,1037,283,1955,4,0,2,2
GSM4284717,261,33,2352,128,47,1,0,2,85,527,110,586,562,470,47,931,324,0,26,33710,1334,2,32,60,84,22,150,1570,29,10,142
GSM4284718,0,1,41386,7,83,1,40,682,1,17,3,26,15,10856,3604,83,25,1,387,66,23,2,0,23842,1991,2140,4938,59,0,6,1
GSM4284719,0,2,33205,32,157,1,3,450,1,33,0,30,0,8550,2315,98,80,0,465,65,53,1,0,7409,1574,2259,3390,125,0,2,1
GSM4284720,0,3,19675,9,530,1,59,603,7,6,3,29,0,5952,1136,101,26,1,255,107,29,4,0,6543,1420,1065,2531,52,1,36,1
GSM4284721,0,1,967,72,5,82,18,318,1,79,42,59,208,152,42,120,208,0,905,48,228,1,5,72,56,162,207,431,1,1,0
GSM4284722,0,3,27457,7,813,1,20,425,2,9,1,11,0,9214,1172,57,68,0,295,23,29,1,1,4189,875,2107,2068,23,1,2,2
GSM4284723,1,0,681,14,1,1,3,15,0,16,0,32,7,90,9,66,68,0,69,163,43,1,1,36,117,679,400,60,0,8,0
GSM4284724,0,4,21837,12,625,1,33,1011,1,13,2,25,1,6646,2677,68,96,0,199,73,14,1,1,15452,1244,1731,4741,48,1,3,1
GSM4284725,0,1,1665,104,0,1,2,25,0,475,2,393,268,329,160,562,375,1,2729,1292,992,0,4,852,2,39,314,930,1,3,1
GSM4284726,0,2,28302,2,6,1,27,1155,1,4,2,26,0,7509,4860,53,12,0,342,13,10,1,3,25873,1532,705,4652,7,1,0,1
GSM4284727,0,7,2647,176,540,237,1,4,1,522,1,510,28,1245,542,823,647,0,2390,786,1303,0,288,1703,24,245,237,1325,3,610,1
GSM4284728,0,0,28184,4,1,1,20,719,1,3,1,16,0,9006,3943,53,23,0,23,10,12,1,4,35217,1603,3683,6527,18,0,0,0
GSM4284729,0,0,3112,86,1,1,9,7,155,298,1,739,18,2041,841,881,336,0,147,1001,1354,332,3,1931,2,7,300,1564,0,198,0
GSM4284730,0,1,26944,2,1,1,16,668,0,4,2,36,1,11280,3974,80,8,0,0,17,9,3,3,15498,2017,3356,7569,20,0,0,1
GSM4284731,1,0,1281,99,0,0,55,20,0,293,32,388,44,699,96,1239,1179,2,561,119,527,1,4,132,2,258,130,423,1,3,9
GSM4284732,0,0,13419,4,1,1,5,184,1,5,1,17,0,3936,1419,47,23,0,32,8,9,0,0,10416,743,506,2182,10,0,1,1
GSM4284733,0,0,7482,61,0,1,0,36,0,81,1,14,88,4203,63,252,562,0,137,3,271,0,4,600,961,642,2647,494,0,373,0
GSM4284734,0,1,16282,2,23,1,8,273,1,3,0,16,0,4829,420,37,9,3,203,33,13,0,3,1664,689,406,2453,11,1,8,1
GSM4284735,1,0,11291,65,1,1,1,61,30,51,0,79,0,2200,53,197,102,1,208,78,111,1,1,120,614,483,168,204,1,20,1
GSM4284736,0,0,18206,14,3,1,13,779,0,7,1,24,5,6782,2658,88,42,1,77,9,26,1,1,10919,1354,1863,2155,33,0,1,1
GSM4284737,0,1,3845,809,0,1,6,155,2,154,912,965,55,1620,890,373,274,4,1055,21,313,1,8,3754,149,176,821,798,0,1,1
GSM4284738,0,1,20713,3,0,1,9,890,1,2,4,19,1,8091,3425,28,7,0,11,4,8,1,1,20399,1100,1278,6570,4,1,0,1
GSM4284739,0,43,954,16,17940,1,6,34,29,41,1,51,12,28,18,65,33,1,205,1861,75,3,0,1,7,30,24,125,2,2,30
GSM4284740,0,1,9890,19,1,1,7,378,0,22,3,22,0,2117,572,77,36,4,317,139,39,2,1,2488,737,469,926,65,1,13,1
GSM4284741,0,4,4262,11,5,1,12,251,1,24,22,32,25,1116,44,89,28,0,37,1421,24,1,5,537,84,1493,1129,79,2,61,6
GSM4284742,0,1,19603,6,23,1,24,811,2,10,2,29,0,6565,942,71,25,0,17,36,22,6,0,4046,1149,571,3015,19,1,1,2
GSM4284743,0,0,657,53,0,2,5,410,81,51,10,36,18,69,7,152,360,0,361,25,83,1,3,36,351,159,53,171,1,3,1
GSM4284744,0,0,10210,2,0,1,9,286,1,8,1,17,0,1950,277,61,13,0,5,19,18,2,1,1193,1326,4069,1791,9,0,1,0
GSM6616574,3,0,4030,29,0,0,133,95,0,25,0,59,3,551,50,174,102,0,569,339,67,12,10,91,70,180,427,68,0,1,8
GSM6616575,0,10,152,63,1844,1,48,25,0,111,1,264,14,25,8,400,238,0,143,40,150,0,0,7,6,44,9,317,1,62,2
GSM6616576,1,44,102,137,4568,436,1,36,7,260,7,264,19,112,94,891,293,10,9124,177,366,142,10,32,29,37,21,571,16,432,13
GSM6616577,3,0,965,147,0,14,1,19,2,555,0,453,52,1044,338,1315,400,3,1201,516,805,59,1,580,18,46,267,617,0,406,0
GSM6616578,0,3,1579,18,18,0,11,104,0,53,0,71,39,60,18,110,103,1,282,53,139,315,8,7,48,878,226,105,0,156,1
GSM6616579,1,2,540,48,1332,1,4,30,0,79,0,87,17,5,11,184,105,0,437,25,126,0,1,1,194,2295,148,100,0,22,4
GSM6616580,4,58,82,201,3103,11,0,19,0,189,0,253,0,7,7,712,549,0,39,4,315,0,1,7,786,738,154,394,18,0,1
GSM6616581,0,0,2382,118,0,0,0,56,3,141,5,188,4,1151,103,504,262,0,8,14,242,1,0,528,106,29,343,310,0,215,0
GSM6616582,0,0,10274,21,0,0,4,432,0,43,40,102,16,2664,80,225,161,0,214,723,129,3,5,542,54,273,1407,85,0,148,0
GSM6616583,0,0,895,115,0,0,0,69,0,130,0,164,6,389,17,381,456,0,72,28,198,0,5,90,1162,4745,160,131,0,1,0
GSM6616584,0,6,68,193,3992,445,0,17,1,222,7,237,6,6,2,675,569,0,622,65,233,53,22,0,97,188,2,577,0,48,10
GSM6616585,0,0,953,129,0,0,10,63,0,227,0,510,126,148,21,1132,327,1,346,1405,527,28,1,52,7,42,98,592,0,1350,0
GSM6616586,1,0,132,140,5,6,0,4,2,222,2,982,30,7,5,974,762,0,2857,435,716,14,0,13,3,2316,14,1014,0,9,0
GSM6616587,0,0,4887,36,1,17,2,315,1,33,0,64,1,2273,109,179,79,0,727,86,38,4,0,759,2583,1317,1110,83,0,5,1
GSM6616588,0,0,3271,12,0,0,0,137,0,18,416,29,369,848,10,103,43,1,26,41,38,5,4,219,292,572,590,51,0,0,0
GSM6616589,0,0,410,204,0,0,0,232,2,252,0,304,12,43,17,622,2197,0,40,18,264,0,0,9,616,519,39,400,0,7,0
GSM6616590,1,0,1041,104,0,3,0,1306,1,203,1,227,27,8,32,620,325,0,193,132,321,1,7,171,196,231,204,331,0,1020,0
GSM6616591,0,23,1313,20,18602,0,0,130,1,29,0,48,3,48,28,110,124,0,80,120,70,14,0,34,263,553,309,75,7,27,16
GSM6616592,0,3,1510,33,2102,0,4,49,182,53,0,81,3,266,46,176,183,0,418,53,129,0,10,119,30,112,61,165,3,19,8
GSM6616593,0,0,1491,6,4,1,1,562,1,17,1,24,5,444,25,119,118,3,144,18,47,3,0,240,134,202,82,36,2,0,0
GSM6616594,0,46,5664,53,10,0,10,7,133,168,9,393,184,1093,100,690,520,0,339,5403,650,0,0,204,2,91,1013,268,31,23,105
GSM6616595,0,0,301,89,10,0,60,17,0,235,0,291,0,53,4,1030,308,1,1024,352,298,201,0,17,38,77,18,577,0,523,9
GSM6616596,0,0,561,96,0,0,0,239,1,167,0,224,0,361,34,412,452,0,78,58,249,0,0,25,8,908,43,267,1,7,0
GSM6616597,0,1,4173,76,17,1,1,13,1,134,0,267,0,1706,549,523,213,0,291,142,161,46,24,2169,26,19,458,372,0,61,0
GSM6616598,2,9,4654,57,3666,4,1,36,21,113,163,280,199,45,23,302,308,1,3845,3981,366,0,88,110,202,71,496,198,0,21,8
GSM6616599,0,0,571,77,113,0,1,22,343,146,3,380,101,15,15,518,405,0,1500,1781,295,1,206,11,54,163,20,364,0,119,0
GSM6616600,0,4,569,120,11,0,3,11,0,262,0,332,5,47,14,1003,434,1,4834,2266,334,127,17,36,1,103,53,428,0,458,1
