ID,GPR50,MYH1,MT2A,E2F8,MYH4,MTNR1B,GLP2R,GNAO1,EGF,BUB1B,MMP3,PLK1,MMP1,MT1E,MT1F,FOXM1,E2F1,MYH7,CCL20,MMP9,CDC20,GLP1R,ADRA1D,MT1G,ADRA1A,IGF1,MT1X,CDK1,MYH8,GNG4,MYH13
GSM6616601,0,12,1101,223,717,2,2,45,0,157,0,454,6,678,58,999,972,0,13,73,453,1,0,50,149,120,94,340,11,35,39
GSM6616602,0,0,3581,72,11,23,32,130,13,110,0,108,1,997,87,402,177,0,510,205,200,16,0,691,902,1686,465,220,0,6,0
GSM6616603,23,32,5493,153,32,39,5,317,0,222,0,679,0,2001,280,942,824,0,1156,132,1594,25,0,896,207,1382,368,461,12,11,1
GSM6616604,0,4,1085,137,0,1,6,442,1,281,1,541,19,187,46,1384,323,4,401,496,446,29,5,159,2,74,235,426,1,1572,5
GSM6616605,1,1,3006,74,120,1,4,113,1,124,0,147,6,1169,19,349,213,0,128,206,294,188,0,170,371,511,173,166,0,14,0
GSM6616606,0,32,548,25,12091,13,1,16,0,43,0,61,7,7,1,163,106,1,563,172,70,1,0,1,306,160,19,110,2,26,19
GSM6616607,0,0,282,100,0,0,0,8,0,208,0,250,8,34,5,714,223,0,523,339,354,123,0,16,5,150,56,343,0,175,0
GSM6616608,1,0,2544,97,30,0,11,1185,39,156,4,200,110,1501,146,435,564,0,303,142,410,52,0,731,265,1168,261,391,0,200,0
GSM6616609,0,0,22331,11,1,0,32,228,0,6,0,11,0,8050,1244,29,25,3,17,26,9,0,1,7422,866,946,3329,14,0,0,0
GSM6616610,0,14,454,63,4287,0,13,14,1,112,0,149,1,28,11,533,306,1,609,138,181,8,89,9,9,143,23,289,1,151,11
GSM6616611,0,2,64490,14,55,0,14,278,4,9,0,44,0,20394,13679,87,61,0,20,31,35,0,0,116683,1515,1196,32776,31,0,0,0
GSM6616612,1,0,63166,63,1,0,9,76,36,125,1,159,5,22799,14989,336,270,0,98,116,181,1,1,44290,193,259,11623,157,0,0,0
GSM6616613,0,17,1018,103,13,1,9,13,17,165,20,446,40,72,55,422,377,18,330,139,345,0,10,179,13,19,158,234,3,16,4
GSM6616614,1,0,17965,34,0,0,0,8,0,44,0,53,13,8813,1227,200,75,0,3,16,87,0,1,6774,36,14,2757,71,0,4,0
GSM6616615,0,0,4426,71,0,0,0,34,1,77,0,76,11,1674,23,175,254,0,26,11,123,1,0,576,1438,598,879,177,0,153,0
GSM6616616,1565,2,480,57,1315,23,4,31,0,103,0,183,11,74,17,355,231,0,1146,1409,156,93,17,32,61,271,45,237,1,27,6
GSM6616617,0,0,3701,65,0,0,15,9,0,145,2,250,79,1577,125,720,259,0,785,1531,343,3,7,423,5,64,422,415,0,445,0
GSM6616618,3,36,7005,38,847,2,18,283,11,43,9,52,4,1943,40,102,106,26,22,21,68,7,17,77,1357,1471,1341,77,15,4,36
GSM6616619,0,10,2385,104,7,0,115,126,85,261,16,397,17,597,103,870,278,0,610,409,279,195,17,250,68,268,221,416,0,13,0
GSM6616620,0,1,998,219,39,2097,0,609,415,174,0,287,21,179,25,694,598,0,555,30,236,3,5,45,1078,444,223,407,0,0,0
GSM6616621,0,2,724,43,0,0,13,326,248,147,0,186,21,142,10,307,264,0,193,106,261,0,42,13,79,199,234,162,0,8,0
GSM6616622,1,0,3481,94,2,514,0,4,0,123,0,239,21,1470,285,805,455,0,370,256,465,326,4,1046,765,2453,472,314,0,115,0
GSM6616623,0,0,557,73,0,795,2,184,236,139,3,257,4,188,19,577,456,0,299,312,409,1,0,135,528,294,117,550,0,42,0
GSM6616624,0,11,2759,84,1,0,0,33,0,228,6,304,7,1044,272,758,382,0,336,451,337,3,4,535,55,50,299,411,9,592,9
GSM6616625,1,51,576,39,8312,1,14,41,0,34,1,63,0,91,11,186,264,0,332,55,40,5,13,13,145,541,67,70,2,99,15
GSM6616626,2,3,330,104,2,11,1,5,471,137,0,221,0,1,37,706,1584,0,94,28,357,3,0,7,25,1094,22,225,0,52,0
GSM6616627,2,8,351,54,7,0,1,11,0,62,0,91,3,13,9,240,112,0,187,98,72,1,0,0,459,843,216,108,1,0,0
GSM6616628,0,0,2400,138,3,0,2,52,529,392,3,462,117,588,89,609,513,0,112,73,570,0,1,371,18,91,210,484,1,4,0
GSM6616629,0,123,3539,1,33455,93,1,427,5,17,1,35,9,423,173,73,90,0,37,30,53,0,1,264,188,2343,204,22,21,4,1
GSM6616630,1,0,7933,69,0,0,2,7,51,175,61,284,17,2115,114,623,304,1,302,1332,311,6,213,688,118,130,330,208,0,43,0
GSM6616631,0,0,5451,20,0,8,0,465,2,44,1,49,38,1796,843,181,270,0,214,43,142,0,1,1694,598,108,853,84,0,102,0
GSM6616632,1,4,4351,90,9,2,1,762,90,114,3,235,70,1806,58,514,330,1,1475,113,303,9,5,323,74,508,241,220,1,36,1
GSM6616633,2,55,2650,119,741,102,0,116,0,160,1,418,59,200,29,740,542,0,719,4899,535,23,13,64,309,998,179,232,38,25,3
GSM6616634,0,0,1120,122,0,2,0,8,0,344,22,707,16,862,166,1370,424,0,5319,420,740,4,0,578,2,23,256,748,0,241,0
GSM6616635,0,1,136,63,2,3,3,245,0,113,0,167,0,44,3,433,173,0,15,11,223,0,0,6,1,346,23,149,1,0,0
GSM6616636,1,14,5586,37,18383,0,1,7,0,81,0,171,3,256,96,365,229,0,1401,255,161,5,48,67,37,284,229,184,2,65,15
GSM6616637,0,0,518,147,0,8,31,25,2,283,3,218,76,150,23,761,375,0,3138,218,319,0,1,40,14,30,54,482,0,9,0
GSM6616638,0,2,1151,51,42,0,2,332,0,73,0,66,15,546,131,215,262,0,122,48,79,0,0,674,95,17,95,135,0,250,1
GSM6616639,2,0,16023,3,19,0,15,242,0,6,0,9,1,4795,1459,22,23,0,1,1,7,0,0,6971,977,2169,1800,15,0,1,0
GSM6616640,0,0,19229,0,0,0,23,648,0,4,0,12,3,4823,1362,28,11,4,19,38,10,0,0,5055,858,512,2688,9,0,1,0
GSM6616641,0,0,24896,0,0,0,6,580,0,3,0,20,2,9830,1089,30,5,3,12,26,5,0,0,6429,1365,1245,3991,17,0,1,0
GSM6616642,0,0,22882,6,0,0,38,479,0,8,0,9,4,6871,3102,38,17,1,38,20,15,0,0,15541,1409,2640,3894,18,0,0,1
GSM6616643,0,0,41493,0,0,0,13,447,0,3,0,8,0,10491,3403,20,8,0,133,5,10,4,0,9881,517,1323,5907,6,0,0,0
GSM6616644,1,0,60885,3,0,0,14,635,1,0,0,7,0,14970,3808,19,4,0,87,1,4,0,5,24743,992,1867,5833,9,0,0,0
GSM6616645,0,0,36912,0,0,0,20,363,0,4,0,5,5,9694,2770,22,9,0,27,77,5,0,0,12446,1876,1954,7889,8,0,2,0
GSM6616646,1,0,47245,0,1,0,22,622,0,5,0,7,3,16013,2085,21,7,7,30,5,6,0,6,11976,1208,2256,10882,8,0,0,0
GSM6616647,0,0,47201,3,0,0,35,323,0,6,4,6,6,11990,1683,11,18,0,447,74,7,0,0,9008,641,1788,6154,8,0,3,0
GSM6616648,0,0,28238,2,1,0,2,747,0,5,0,11,0,7767,1452,27,8,1,44,15,14,0,3,10488,867,2548,4220,14,0,1,0
GSM6616649,0,0,27549,0,0,0,10,179,0,1,0,7,0,10920,2590,22,1,1,2,1,0,0,0,9113,1118,1972,4922,0,0,0,0
GSM6616650,0,0,22889,5,0,0,5,745,0,10,1,5,0,5376,1273,36,59,0,514,4,10,0,0,6565,738,2009,2972,13,0,0,0
GSM6616651,1,0,5999,36,7,4,13,76,3,314,6,550,17,1457,309,305,537,4,1066,627,553,113,3,791,110,398,489,736,0,3,0
GSM6616652,0,0,44588,0,0,0,27,446,0,5,0,11,7,15652,3210,18,9,3,15,1,1,0,0,11518,2072,1281,10333,4,0,0,0
GSM6616653,0,1,16242,4,0,0,33,537,2,7,0,10,4,5760,472,34,13,5,85,51,8,0,0,4043,1530,1198,2901,26,0,3,0
GSM6616654,0,0,32303,3,0,0,15,554,0,0,0,7,2,12361,3768,31,18,0,8,27,5,0,3,16896,718,1162,5944,7,0,0,0
GSM6616655,0,0,24765,0,0,0,39,496,0,5,1,8,1,5680,2771,31,10,1,14,12,4,0,0,23467,1120,1138,3929,5,0,4,0
GSM6616656,0,0,33107,6,240,0,9,418,0,11,0,15,0,6233,3512,37,46,1,41,77,9,0,1,35849,1077,1711,4863,17,0,3,1
GSM6616657,0,0,9394,8,0,0,41,351,0,9,0,33,0,2878,315,115,29,0,11,5,5,0,0,1587,2191,1734,1379,16,0,0,0
GSM6616658,0,0,5634,8,0,0,0,138,1,8,0,17,4,819,115,40,17,0,31,1,11,0,9,4180,796,1391,822,18,0,36,0
GSM6616659,0,0,39720,0,0,0,14,193,0,1,0,7,4,10012,3156,33,10,0,42,15,5,0,1,16361,933,889,5849,7,0,0,1
GSM6616660,0,0,34077,3,0,0,54,871,2,0,0,16,1,15707,7055,55,8,3,4,0,4,0,0,37665,3092,4085,7726,8,0,0,0
GSM6616661,0,0,25148,3,1,0,12,673,0,4,3,18,4,6511,3213,37,14,3,16,5,9,3,1,23732,1260,1369,3373,10,0,0,3
GSM6616662,0,0,15539,6,0,0,39,429,0,6,0,15,0,5182,1577,35,16,3,4,1,7,0,0,10561,805,1367,2987,14,0,0,0
GSM6616663,0,0,26967,0,1,0,2,290,0,0,0,8,1,5853,1195,19,10,0,97,28,5,0,8,5470,879,1587,4146,6,3,4,0
GSM6616664,0,0,32941,0,0,0,16,1354,2,3,0,16,1,7087,3035,35,9,0,18,63,11,0,3,17664,1309,1040,4251,7,0,3,0
GSM6616665,0,0,11549,14,0,0,55,204,1,18,1,32,1,2640,777,79,53,0,153,46,22,1,3,4228,510,543,1039,52,0,6,0
GSM6616666,0,0,25997,1,2,0,20,591,1,8,0,10,0,8391,1375,28,14,0,29,25,10,0,0,6352,974,1085,4430,13,0,3,0
GSM6616667,0,0,30576,5,2,3,46,408,1,7,0,17,0,9862,4308,47,18,3,24,12,6,0,3,29708,2717,2251,5665,10,0,0,0
GSM6616668,0,0,26953,5,1,1,13,323,0,7,1,27,1,6462,1167,70,23,0,86,12,7,0,10,6298,2188,2011,4456,5,0,1,0
GSM6616669,0,0,36911,0,0,0,5,371,1,1,0,8,0,9320,2949,21,9,3,4,1,4,0,0,22619,1203,2976,7145,3,3,2,0
GSM6616670,0,0,27669,3,0,0,28,781,2,6,0,24,4,7428,2177,50,18,4,70,33,13,0,1,8083,1235,925,4372,16,0,2,0
GSM6616671,0,0,9305,5,79,0,6,192,0,3,0,24,0,3089,770,98,13,12,4,12,4,1,0,3674,1821,1610,1923,9,0,3,0
GSM6616672,0,0,35656,4,2,0,1,146,1,1,0,9,2,12760,2067,26,13,0,15,20,4,0,1,10668,964,1463,8206,9,0,0,4
GSM6616673,0,0,1938,77,1,5,60,644,39,113,10,170,127,1137,123,437,308,0,367,405,779,20,31,447,208,816,228,800,0,1010,0
GSM6616674,0,0,4384,33,0,0,0,223,0,37,0,64,1,2297,398,295,74,0,35,212,72,1,3,2846,54,1774,882,61,0,214,0
GSM6616675,0,0,30962,6,2,0,22,231,0,5,0,11,1,6158,2483,23,18,4,9,19,6,0,6,15177,1191,1182,8373,11,0,0,0
GSM6616676,0,0,19509,4,120,0,56,500,2,3,1,17,1,5168,829,44,23,3,66,15,10,1,6,5087,531,464,2503,17,1,0,3
GSM6616677,0,0,31804,8,3,0,28,427,0,11,0,13,1,11115,2648,52,44,4,19,63,14,0,0,11354,1295,2479,5274,23,0,0,0
GSM6616678,0,1,12598,312,0,0,32,56,1,536,26,921,53,2573,360,869,818,1,540,137,774,3,0,2449,64,87,1558,593,0,16,3
GSM6616679,0,0,21446,1,9,0,20,485,2,6,0,13,1,5878,674,32,14,0,98,17,8,0,0,3451,762,1613,2827,14,0,0,0
GSM6616680,0,0,3427,31,0,0,0,1,0,22,1,29,29,1601,20,83,162,0,25,18,35,1,0,643,855,490,537,70,0,46,0
GSM6616681,0,0,21368,0,0,0,31,461,0,4,0,14,0,6575,2381,33,28,0,6,42,5,0,0,15012,1150,1380,3581,6,0,0,0
GSM6616682,0,0,31374,0,0,0,17,682,0,5,0,10,0,11119,3737,24,10,3,115,14,8,0,0,13205,1309,2651,5437,6,0,0,1
GSM6616683,0,0,40836,0,2,0,11,176,1,4,0,12,1,16229,1898,25,12,0,76,22,6,0,0,11362,645,1004,7731,6,0,0,0
GSM6616684,1,0,11837,7,0,0,6,530,0,6,0,15,0,4611,549,27,19,0,28,20,7,0,0,2265,2149,1103,1708,12,0,0,1
GSM6616685,0,0,17063,3,4,0,51,582,0,5,0,11,2,6335,1412,32,16,0,2,5,8,0,1,8559,676,452,2126,5,0,0,0
GSM6616686,0,1,34256,3,0,0,33,237,4,5,0,11,0,9130,1698,27,32,1,44,17,11,2,3,9584,457,921,2990,15,0,0,1
GSM6616687,0,0,31072,5,6,2,9,359,0,9,0,4,0,8646,3393,26,1,0,139,33,8,0,1,20231,1891,924,5039,5,0,0,0
GSM6616688,0,0,47642,5,0,0,9,412,2,2,0,17,1,18916,6998,17,6,3,241,20,7,1,0,37448,1044,2374,9090,10,0,5,0
GSM6616689,0,9,42133,5,0,0,34,225,3,1,0,16,3,10630,2260,35,11,5,317,49,3,3,1,8699,800,271,6227,11,3,5,0
GSM6616690,0,0,25370,0,0,0,33,211,0,1,0,8,0,7905,2362,27,8,0,4,5,1,0,0,18625,1513,1706,4058,7,0,0,0
GSM6616691,0,5,55388,5,0,0,51,234,0,3,0,8,0,15308,5043,36,11,1,135,43,8,1,0,20104,1291,3156,10455,19,0,2,1
GSM6616692,2,8,30104,6,10,0,11,354,0,4,0,17,2,5735,855,37,27,7,185,25,8,1,1,5686,587,860,2552,11,1,2,4
GSM6616693,0,0,28720,3,0,0,14,598,0,6,0,10,1,7245,2201,25,10,0,14,9,3,1,3,12085,1084,1971,4694,6,0,0,0
GSM6616694,0,0,31643,0,9,0,7,984,1,3,0,27,0,8204,3576,132,5,19,8,22,1,2,0,21609,2879,3048,6264,5,0,5,0
GSM6616695,0,0,16564,8,18,0,7,489,0,6,0,11,0,5598,739,28,22,1,5,12,6,0,5,3527,1133,2512,2311,13,0,3,0
GSM6616696,0,0,31460,3,0,0,12,187,0,8,3,25,2,8261,812,51,21,3,83,114,16,1,5,3143,438,675,3694,24,0,9,0
GSM6616697,0,0,26458,6,0,0,31,481,1,12,0,18,4,7965,2018,45,33,0,17,79,16,2,5,9494,855,381,4443,18,0,6,0
GSM6616698,0,0,61400,5,1,0,17,904,0,2,0,14,0,16207,2785,19,9,1,10,9,5,0,0,8070,1446,2472,10350,8,0,0,0
GSM6616699,0,0,9520,9,8,0,16,163,0,8,0,11,1,3475,180,39,16,0,50,28,8,1,0,1348,977,589,1374,18,0,1,0
GSM6616700,0,0,18222,1,2,0,10,264,0,9,1,17,0,5680,842,32,27,0,42,9,10,0,1,2820,921,1108,2630,16,0,0,0
GSM6616701,0,1,48574,0,0,0,12,505,0,0,0,6,5,13889,2719,29,10,4,18,9,6,0,0,20949,1282,1394,6419,6,0,0,0
GSM6616702,0,0,26530,0,0,1,23,249,0,4,0,9,4,9859,4312,31,11,1,1,12,6,0,0,29882,2349,2477,4712,8,0,0,1
GSM6616703,0,1,51958,3,0,0,28,313,0,3,0,13,335,18435,5033,48,12,4,150,15,8,0,1,16513,1348,1429,9752,11,0,0,0
GSM6287575,1,3,2168,54,3651,0,62,11,0,682,1,918,19,910,283,1123,854,0,1207,206,2183,375,0,164,3,41,114,1883,8,1251,46
GSM6287576,0,0,1139,104,0,1,0,266,0,51,422,92,6,125,35,291,174,0,9503,1245,370,0,8,31,190,561,41,91,0,257,1
GSM6287577,0,0,75558,33,0,1,0,20,0,50,0,114,15,31095,9500,275,228,0,1383,1663,243,0,11,54980,21,315,10131,140,0,43,0
GSM6287578,0,0,593,186,0,1,0,246,19,218,0,643,2,217,60,1149,1088,0,120,75,1549,1,3,11,262,2423,28,473,0,48,0
GSM6287579,0,5,796,88,5014,241,3,5,0,172,0,136,13,163,29,321,406,1,3642,101,216,312,159,91,13,36,95,391,0,460,9
GSM6287580,0,0,9808,1,1,0,0,10,0,6,0,13,431,2000,11,31,16,0,55,177,21,0,20,232,14,642,531,18,0,0,0
GSM6287581,0,0,877,95,0,0,30,6,12,372,0,355,4,640,181,772,394,1,36,20,334,0,0,51,8,36,134,557,0,0,0
GSM6287582,1,24,1282,110,828,27,16,23,0,329,0,630,64,649,239,1092,1036,1,2872,4514,777,16,7,358,2,26,156,282,9,2547,5
GSM6287583,0,46,3495,85,21584,255,3,5,12,120,0,418,262,887,79,418,339,0,42,30,525,18,10,912,69,31,367,288,6,5,27
GSM6287584,0,0,4272,18,0,3,8,350,0,87,0,136,1,133,14,261,251,0,111,56,204,0,0,531,485,1481,1155,197,0,0,0
GSM6287585,460,1,25495,9,286,0,62,382,18,63,0,165,234,3872,131,223,96,2,443,704,153,16,1,180,38,598,4350,141,6,1,19
GSM6287586,0,27,946,538,121,1,0,56,15,404,0,1626,51,33,20,961,1576,0,454,37,846,14,186,58,388,620,122,404,19,2597,15
GSM6287587,0,3,332,68,261,24,0,169,9,113,0,209,37,24,11,375,832,0,308,303,214,12,4,9,447,369,108,144,0,8,0
GSM6287588,0,0,1569,231,0,16,4,372,505,500,8,298,7,259,35,1497,633,0,1679,276,737,0,6,20,100,87,199,835,0,36,0
GSM6287589,0,16,4095,61,81,0,4,161,15,224,6,140,12,1404,23,404,294,0,464,284,273,0,3,568,2,105,467,197,9,8,0
GSM6287590,0,0,11831,232,1,0,0,710,0,114,0,266,2,3114,314,742,493,0,201,26,625,0,4,1266,533,578,678,289,0,160,0
GSM6287591,21,0,1112,144,0,0,0,2,0,183,0,229,32,384,353,893,170,0,531,32,707,399,1,530,118,39,71,476,0,1014,0
GSM6287592,0,1,2129,135,0,0,11,276,49,168,0,320,3,359,91,278,417,0,553,88,540,30,3,260,34,145,140,380,0,0,0
GSM6287593,0,41,601,16,61,0,18,84,34,20,51,59,160,81,91,71,22,20,1089,4769,9,0,7,147,8,45,76,15,0,0,0
GSM6287594,0,0,1551,354,0,1459,0,644,715,124,9,598,46,349,74,627,1302,1,228,338,478,9,3,464,156,244,187,894,0,113,0
GSM6287595,0,0,140,425,0,0,3,6,0,559,0,628,2,22,3,1929,707,0,2255,11,379,171,0,1,66,524,3,1332,0,400,1
GSM6287596,48,1,442,255,0,1,6,17,0,886,16,826,65,55,4,3275,928,0,5916,3256,991,185,155,8,1,22,21,848,0,1135,0
GSM6287597,0,3,786,230,0,0,0,323,0,158,0,107,2,74,8,253,335,0,129,16,164,9,5,92,200,80,233,197,0,13,1
GSM6287598,0,0,432,17,0,0,1,4,0,21,0,64,0,5,2,232,144,0,5,14,73,0,1,3,856,119,635,77,0,0,0
GSM6287599,0,15,993,15,11764,0,0,451,0,25,6,29,2,102,15,174,136,0,165,161,59,1,0,2,1805,533,97,13,11,5,5
GSM6287600,0,0,11903,32,0,0,0,109,0,67,0,23,0,4085,92,134,27,0,96,83,95,0,0,2050,259,1096,4265,119,0,359,0
GSM6287601,1,0,5005,254,0,0,3,443,0,68,0,206,2,1628,220,915,831,0,145,13,333,0,0,1944,1136,1310,739,151,0,8,0
GSM6287602,0,1,12861,1,0,0,14,384,0,12,0,18,0,4649,639,28,13,3,11,27,5,1,0,3132,1179,3011,1496,8,0,0,0
GSM6287603,0,0,12248,3,0,0,13,647,0,1,0,26,1,2551,842,38,20,0,2,36,16,0,0,4187,1829,2056,930,9,0,0,0
GSM6287604,0,0,33255,8,41,0,89,286,0,8,3,10,3,11794,1924,68,53,6,75,46,26,0,7,6045,882,781,5894,22,0,0,0
GSM6287605,0,0,31783,5,0,0,37,349,0,6,0,33,4,10855,1445,51,26,5,18,11,18,4,3,7415,1731,3639,5932,23,0,7,0
GSM6287606,0,0,20581,0,1,1,8,614,1,5,1,25,1,6705,2310,35,38,2,2,51,7,0,1,18660,1348,1703,3850,21,0,1,0
GSM6287607,0,0,36961,1,0,0,26,680,0,7,0,21,0,12676,8401,52,26,1,30,8,4,0,0,46511,1112,4183,6723,37,0,0,0
GSM6287608,0,0,28755,2,0,0,41,342,0,5,0,13,1,11251,1016,35,16,2,1,7,4,0,0,5490,1976,1097,7067,4,0,0,0
GSM6287609,0,0,23521,1,0,0,23,74,0,10,0,15,2,6756,2727,39,61,1,0,6,7,0,2,15393,1698,2554,5633,16,0,5,0
GSM6287610,0,0,18369,3,22,0,24,396,0,2,0,7,2,5029,659,26,16,0,40,33,7,0,0,2768,957,2844,3375,16,0,0,0
GSM6287611,0,0,26794,1,0,0,14,268,1,3,0,5,2,7517,1102,27,2,1,21,134,4,0,3,5710,1701,1398,7141,2,0,0,0
GSM6287612,0,0,51832,9,0,0,29,207,0,44,0,75,56,19485,928,145,65,0,15,57,96,0,0,7181,1746,1200,13101,88,0,0,0
GSM6287613,0,0,29137,2,0,0,11,161,0,3,0,4,2,10812,2251,7,5,9,13,3,3,1,0,14618,1623,918,6219,9,0,5,0
GSM6287614,0,0,18817,2,0,0,29,397,0,5,0,19,3,7204,2821,16,7,6,4,7,11,0,1,19420,1485,2249,5326,19,0,0,0
GSM6287615,0,0,6922,1,0,1,18,199,0,9,0,3,10,2700,382,33,5,2,11,60,0,0,3,1551,521,1233,1027,22,0,0,0
GSM6287616,0,1,22135,0,0,0,27,385,0,0,4,10,30,6857,3185,18,46,3,24,4,7,0,0,16639,1324,2830,2700,18,0,0,0
GSM6287617,0,0,21341,0,0,0,17,124,0,2,3,16,0,7692,3996,26,15,3,11,2,4,0,0,18799,1440,1514,4259,20,0,10,0
GSM6287618,0,0,10924,3,0,0,20,485,0,3,0,10,1,2724,1981,70,2,1,11,7,3,0,1,8297,1280,1096,1790,8,0,0,0
GSM6287619,0,0,33020,6,0,2,4,494,0,1,0,8,0,10632,2308,28,9,2,1,17,3,0,0,15261,1676,1641,6277,2,0,1,0
GSM6287620,0,0,36494,6,0,0,22,480,0,13,0,19,2,9828,6725,11,9,1,7,24,20,0,6,27887,1146,1022,4081,17,0,0,0
GSM6287621,0,0,25499,3,0,0,14,480,1,8,0,1,6,8437,2464,14,4,1,10,14,1,0,1,8371,1674,5858,4113,15,0,0,0
GSM6287622,0,0,11747,3,0,0,5,787,0,1,0,4,8,4286,1524,32,1,1,41,33,1,0,0,7595,887,2070,1324,2,0,0,0
GSM6287623,0,2,16471,8,0,0,24,689,7,2,0,14,0,5396,3213,32,20,5,4,11,12,0,0,17820,1616,5725,2183,12,0,1,0
GSM6287624,0,0,18064,0,0,0,6,344,0,19,0,23,0,4061,1988,24,23,0,16,3,3,0,1,16907,1318,888,1900,25,0,0,0
GSM6287625,0,14,33155,10,0,0,41,334,1,4,0,19,18,1651,273,96,25,3,257,225,20,0,5,316,206,96,2971,34,5,0,5
GSM6287626,0,1,19691,2,22,0,34,711,0,0,0,16,0,5064,2429,34,17,0,13,5,0,0,0,12837,1567,998,2275,3,0,0,0
GSM6287627,0,0,30664,1,30,0,34,373,0,1,0,3,1,6842,1398,75,49,1,170,37,18,0,0,6565,2134,1241,5139,6,0,12,5
GSM6287628,0,1,9310,10,192,0,19,521,1,12,0,22,0,1321,299,67,59,0,30,103,22,0,0,1844,1117,2151,1106,29,1,7,0
TCGA-5R-AA1C-01A-11R-A41C-07,0,0,328,24,0,0,0,134,0,63,0,72,1,48,9,86,68,0,15,8,71,0,27,49,191,629,476,126,0,1,0
TCGA-ED-A66Y-01A-11R-A311-07,12668,6,530,298,376,0,10,16,1,324,0,671,16,66,6,1010,530,0,368,379,642,428,2,15,0,241,0,767,0,3,1
TCGA-DD-AAEI-01A-11R-A41C-07,0,0,1784,109,0,0,0,890,0,257,0,196,7,248,23,1972,329,0,289,34,523,0,0,133,156,557,157,268,0,1,0
TCGA-ED-A8O5-01A-11R-A36F-07,0,46,899,181,1415,0,0,25,2,287,3,257,8,57,35,707,190,1,1054,133,303,139,1,65,287,165,116,474,0,392,67
TCGA-DD-A3A2-11A-11R-A213-07,0,0,18562,3,0,0,58,952,1,9,0,12,0,7845,3408,44,12,1,12,6,3,0,0,16325,1844,2085,3505,10,0,9,0
TCGA-DD-AACH-01A-11R-A41C-07,0,0,2886,1160,43,0,16,36,751,1330,5,1736,131,1165,174,1375,3204,0,820,759,1641,41,1,702,68,240,246,1269,0,7,0
TCGA-FV-A3R3-01A-11R-A22L-07,17,29,4783,18,20789,0,52,134,34,50,0,64,12,1211,340,171,76,0,88,185,47,294,11,346,29,242,351,71,33,166,38
TCGA-G3-A5SJ-01A-11R-A27V-07,0,55,1679,82,14,0,1,75,15,223,94,177,231,358,100,545,341,0,3993,1740,763,5,1,155,33,86,350,247,6,21,1
